date,year,region,avg_temperature,heatwave_days,precipitation_mm
2015-07-15,2015,서울,13.8,8,1350
2015-07-15,2015,부산,14.2,10,1435
2015-07-15,2015,대구,14.6,12,1520
2016-07-15,2016,서울,13.88,8,1338
2016-07-15,2016,부산,14.28,10,1423
2016-07-15,2016,대구,14.68,12,1508
2017-07-15,2017,서울,13.96,9,1326
2017-07-15,2017,부산,14.36,11,1411
2017-07-15,2017,대구,14.76,13,1496
2018-07-15,2018,서울,14.04,9,1314
2018-07-15,2018,부산,14.44,11,1399
2018-07-15,2018,대구,14.84,13,1484
2019-07-15,2019,서울,14.12,10,1302
2019-07-15,2019,부산,14.52,12,1387
2019-07-15,2019,대구,14.92,14,1472
2020-07-15,2020,서울,14.2,10,1290
2020-07-15,2020,부산,14.6,12,1375
2020-07-15,2020,대구,15.0,14,1460
2021-07-15,2021,서울,14.28,11,1278
2021-07-15,2021,부산,14.68,13,1363
2021-07-15,2021,대구,15.08,15,1448
2022-07-15,2022,서울,14.36,11,1266
2022-07-15,2022,부산,14.76,13,1351
2022-07-15,2022,대구,15.16,15,1436
2023-07-15,2023,서울,14.44,12,1254
2023-07-15,2023,부산,14.84,14,1339
2023-07-15,2023,대구,15.24,16,1424
2024-07-15,2024,서울,14.52,12,1242
2024-07-15,2024,부산,14.92,14,1327
2024-07-15,2024,대구,15.32,16,1412
